"PAR";"TAir";"VPD";"Precip";"CO2";"fAPAR";"GPPobs";"ETobs";"DOY"
1,0621152;2,109;0,043;0,4;380;0,8039802775;0,266;0,095;321
1,08216;0,891;0,028;0,4;380;0,8039802775;0,41;0,104;322
0,4271616;0,029;0,028;0,3;380;0,8039802775;0,194;0,078;323
1,3631328;0,907;0,022;19,4;380;0,8039802775;0,445;0,047;324
0,3321216;0,585;0,015;1,2;380;0,8039802775;0,104;0,096;325
0,4163616;-4,942;0,046;0,3;380;0,8039802775;0,003;0,101;326
1,4840064;-3,683;0,066;0,1;380;0,8039802775;-0,002;0,163;327
0,13824;0,041;0,021;1,6;380;0,8039802775;0,058;0,204;328
0,206496;2,07;0,019;2,3;380;0,8039802775;0,096;0,251;329
0,1414368;0,736;0,018;0;380;0,8039802775;0,066;0,071;330
0,2342304;-0,43;0,02;1,2;380;0,8039802775;0,078;0,112;331
0,3439584;0,184;0,022;0,4;380;0,8039802775;0,062;0,099;332
0,1806624;-1,483;0,034;0;380;0,8039802775;0,101;0,122;333
0,5085504;2,114;0,023;1,2;380;0,8039802775;0,084;0,106;334
0,1747872;1,696;0,018;0;380;0,8039802775;-0,001;0,134;335
0,1783296;3,312;0,028;12;380;0,8039802775;-0,035;0,121;336
0,2329344;2,915;0,02;0,2;380;0,8039802775;0,035;0,074;337
0,3198528;5,406;0,079;1,7;380;0,8039802775;0,04;0,06;338
0,122688;4,481;0,028;0;380;0,8039802775;0,046;0,08;339
0,2096064;4,36;0,028;0,9;380;0,8039802775;0,063;0,139;340
0,0759456;6,068;0,047;0,3;380;0,8039802775;0,041;0,107;341
0,1359072;5,168;0,038;0,1;380;0,8039802775;0,069;0,076;342
0,1478304;4,863;0,027;2,2;380;0,8039802775;0,068;0,089;343
0,2748384;2,401;0,018;1,3;380;0,8039802775;0,111;0,059;344
0,2254176;4,014;0,024;8,4;380;0,8039802775;0,09;0,128;345
0,2196288;5,124;0,044;1,1;380;0,8039802775;0,076;0,156;346
0,5867424;4,084;0,036;1,9;380;0,8039802775;0,222;0,043;347
0,1703808;2,66;0,024;0;380;0,8039802775;0,135;0,161;348
0,4096224;3,808;0,024;11,1;380;0,8039802775;0,214;0,129;349
0,2782944;3,554;0,023;1,8;380;0,8039802775;0,106;0,142;350
0,1588896;1,225;0,024;1,1;380;0,8039802775;0,02;0,082;351
0,210384;-1,495;0,029;5,2;380;0,8039802775;0,052;0,12;352
0,3656448;-2,082;0,035;0,1;380;0,8039802775;-0,005;0,046;353
0,3709152;-3,734;0,036;0,1;380;0,8039802775;0,039;0,101;354
0,6457536;-4,404;0,032;0;380;0,8039802775;0;0,102;355
0,5223744;-6,23;0,033;0;380;0,8039802775;0;0,061;356
0,1973376;-2,325;0,027;0,6;380;0,8039802775;0;0,068;357
0,3189888;-1,319;0,024;2,5;380;0,8039802775;0,073;0,051;358
0,2657664;-5,556;0,036;6;380;0,8039802775;0,036;0,056;359
0,6548256;-13,026;0,015;0,8;380;0,8039802775;0;0,026;360
0,4313088;-9,888;0,013;0,1;380;0,8039802775;0;-0,053;361
1,147392;-5,6;0,022;0;380;0,8039802775;0,02;-0,049;362
0,7141824;-10,263;0,014;0;380;0,8039802775;0;-0,051;363
0,2744064;-8,321;0,012;0,6;380;0,8039802775;0;-0,054;364
0,3440448;-2,575;0,018;6,6;380;0,8039802775;0;0,052;365
0,26784;-2,751;0,012;0,3;380;0,8039802775;0;0,027;1
0,171504;-2,812;0,014;3,8;380;0,8097164593;0,03;0,06;2
0,3091392;-2,614;0,026;1,3;380;0,8097164593;0,109;0,08;3
0,3845664;-2,938;0,022;0;380;0,8097164593;0,096;0,088;4
0,1553472;-3,202;0,013;0,8;380;0,8097164593;-0,037;0,172;5
0,3636576;-1,445;0,015;4;380;0,8097164593;0;0,182;6
0,48816;-0,447;0,015;0,2;380;0,8097164593;0;0,042;7
0,621648;-2,865;0,019;1,4;380;0,8097164593;0;0,049;8
0,765072;-0,816;0,02;3,7;380;0,8097164593;0,087;0,076;9
0,9192096;0,575;0,02;1,8;380;0,8097164593;0,107;0,117;10
0,6768576;-2,572;0,042;4,3;380;0,8097164593;0,013;0,107;11
0,41472;-6,931;0,027;0,7;380;0,8097164593;-0,056;0,034;12
0,6397056;-5,919;0,019;0,3;380;0,8097164593;0,107;0,069;13
0,8364384;-3,504;0,021;0,3;380;0,8097164593;0;0,013;14
1,901232;-1,27;0,029;0;380;0,8097164593;0,085;0,012;15
