run,execution_time,hiddensize,batchsize,learningrate,history,activation,nlayers,featuresize,rmse_train,rmse_val,mae_train,mae_val
70,38313.509682655334,[256],256,0.001,1,<class 'torch.nn.modules.activation.ReLU'>,1,7,1.0935165882110596,2.0028319358825684,0.7786873579025269,1.4267288446426392
70,38328.53078055382,"[32, 16]",256,0.0001,2,<class 'torch.nn.modules.activation.ReLU'>,2,10,1.4765980243682861,1.9107730388641357,1.0979000329971313,1.3859469890594482
70,38342.42977118492,"[16, 64, 16]",128,0.005,2,<class 'torch.nn.modules.activation.ReLU'>,3,7,1.0565192699432373,2.141538143157959,0.7625752687454224,1.5174016952514648
70,38484.17201900482,"[16, 256]",256,0.0001,0,<class 'torch.nn.modules.activation.ReLU'>,2,7,1.384630560874939,1.9048649072647095,1.016756534576416,1.3899509906768799
70,38513.24192857742,"[256, 16, 8]",64,0.01,1,<class 'torch.nn.modules.activation.ReLU'>,3,7,1.2025268077850342,1.9753910303115845,0.8882743716239929,1.4246654510498047
70,38512.75289964676,"[8, 64, 128]",64,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,3,10,1.4430549144744873,1.8882936239242554,1.0686495304107666,1.3891335725784302
70,38531.078263282776,"[16, 256]",128,0.01,1,<class 'torch.nn.modules.activation.ReLU'>,2,10,1.3091179132461548,2.042912483215332,0.9782570004463196,1.458984136581421
70,38582.161786556244,"[32, 64, 64]",128,0.0001,2,<class 'torch.nn.modules.activation.ReLU'>,3,7,1.3704321384429932,1.9056364297866821,1.0049958229064941,1.3868204355239868
70,38591.7944252491,"[128, 256, 32]",16,0.005,1,<class 'torch.nn.modules.activation.ReLU'>,3,7,1.2936404943466187,1.9046361446380615,0.9562808871269226,1.3596010208129883
70,38664.55283045769,"[256, 64, 8]",64,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,3,10,1.4073917865753174,1.8570648431777954,1.037459373474121,1.3614661693572998
70,38690.56563091278,"[128, 128, 16]",64,0.001,2,<class 'torch.nn.modules.activation.ReLU'>,3,7,1.0554639101028442,2.122598886489868,0.7471163272857666,1.4896057844161987
70,38700.78712081909,"[256, 32]",256,0.01,0,<class 'torch.nn.modules.activation.ReLU'>,2,10,1.1953771114349365,2.0151219367980957,0.8939535021781921,1.4541927576065063
70,38765.76118183136,"[256, 8]",256,0.0001,2,<class 'torch.nn.modules.activation.ReLU'>,2,10,2.057664632797241,2.6806209087371826,1.554827094078064,1.994916558265686
70,38779.506984233856,"[128, 128, 64]",64,0.0001,2,<class 'torch.nn.modules.activation.ReLU'>,3,10,1.3870179653167725,1.8640823364257812,1.0183312892913818,1.3822128772735596
70,38826.95197892189,"[256, 256, 8]",64,0.01,0,<class 'torch.nn.modules.activation.ReLU'>,3,5,1.3078665733337402,2.179750442504883,0.9750247001647949,1.5537246465682983
70,38839.84203147888,"[64, 16, 256]",256,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,3,7,1.3355638980865479,1.8544342517852783,0.9701403379440308,1.3571056127548218
70,38842.02397823334,"[256, 256]",128,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,2,7,0.8242448568344116,2.1397249698638916,0.6005956530570984,1.4833053350448608
