,id,model,typ,simsfrac,finetuned_type,dropout,epochs,rmse_train,rmse_val,mae_train,mae_val,task
135,MLP10D0100B1,mlp,10,100,B-fb,0,5000.0,0.5094107389450073,0.7296689748764038,0.2995776832103729,0.4625630974769592,finetuning
136,MLP11D030A,mlp,11,30,A,0,,1.8441661436415575,1.5583655723964256,1.167486868660922,1.0647467961647936,finetuning
137,MLP11D030C1,mlp,11,30,C-OLS,0,,0.6440339767716347,6.305662932489343,0.39992029741322854,0.8415959559259398,finetuning
138,MLP11D030C2,mlp,11,30,C-NNLS,0,,1.1038916942412904,1.0955080180894017,0.752195636690969,0.740186473183238,finetuning
139,MLP11D030D,mlp,11,30,D-MLP2,0,10.0,3.1276436510345347,3.0814392262828845,2.138023582947966,2.1341655692300647,finetuning
140,MLP11D030B1,mlp,11,30,B-fb,0,5000.0,0.611221194267273,0.724112331867218,0.3667888045310974,0.4543638229370117,finetuning
141,MLP11D030B2,mlp,11,30,B-fW2,0,10000.0,0.5802822113037109,0.7178940773010254,0.343898206949234,0.4536218643188477,finetuning
142,MLP11D050A,mlp,11,50,A,0,,1.8724581768762394,1.5605228052217492,1.1919657986170793,1.0666501216250464,finetuning
143,MLP11D050C1,mlp,11,50,C-OLS,0,,0.6256064869122495,399.36092698765447,0.3937164236569815,21.38740069806027,finetuning
144,MLP11D050C2,mlp,11,50,C-NNLS,0,,1.077968013002144,1.0512639960792733,0.7292384957134223,0.701302019065526,finetuning
145,MLP11D050D,mlp,11,50,D-MLP2,0,10.0,3.0094223284641735,2.95857188017632,2.0951630406090738,2.08280469389043,finetuning
146,MLP11D050B1,mlp,11,50,B-fb,0,5000.0,0.6041280031204224,0.7119953036308289,0.3605495095252991,0.44797825813293457,finetuning
147,MLP11D050B2,mlp,11,50,B-fW2,0,10000.0,0.5664106607437134,0.7214606404304504,0.3370038866996765,0.4544941484928131,finetuning
148,MLP11D070A,mlp,11,70,A,0,,1.8789306388300155,1.5617476541762672,1.2007576419571604,1.0691967911086449,finetuning
149,MLP11D070C1,mlp,11,70,C-OLS,0,,0.6283418913630154,47.593312692406,0.39124250887197964,3.2585527896946465,finetuning
150,MLP11D070C2,mlp,11,70,C-NNLS,0,,1.0540646410692425,1.0232470650384566,0.7040817784858939,0.6847361499812572,finetuning
151,MLP11D070D,mlp,11,70,D-MLP2,0,10.0,3.248236743016953,3.1841259334241125,2.2293999841861494,2.2128840260647276,finetuning
152,MLP11D070B1,mlp,11,70,B-fb,0,5000.0,0.6065211296081543,0.7127586007118225,0.3637459874153137,0.4454451203346253,finetuning
153,MLP11D070B2,mlp,11,70,B-fW2,0,10000.0,0.569439709186554,0.7278890609741211,0.33643922209739685,0.4569151997566223,finetuning
154,MLP11D0100A,mlp,11,100,A,0,,1.866191628418187,1.5456714633151047,1.1814409605677714,1.0541351423721728,finetuning
155,MLP11D0100C1,mlp,11,100,C-OLS,0,,0.6157142138085726,12.504453495057593,0.38776925306647875,1.1833974570459749,finetuning
156,MLP11D0100C2,mlp,11,100,C-NNLS,0,,1.0743908044984383,1.0514513265958327,0.7150060151447486,0.69265401685882,finetuning
157,MLP11D0100D,mlp,11,100,D-MLP2,0,10.0,2.8739395757886412,2.8228209369662176,2.0033439354518214,1.988436242363754,finetuning
158,MLP11D0100B1,mlp,11,100,B-fb,0,5000.0,0.6000974774360657,0.7266837358474731,0.360217958688736,0.4585079550743103,finetuning
159,MLP11D0100B2,mlp,11,100,B-fW2,0,10000.0,0.560545802116394,0.7306062579154968,0.3343768119812012,0.4587710797786713,finetuning
160,MLP12D030A,mlp,12,30,A,0,,2.9996330916494096,2.913000133585443,1.905552207535043,1.9006367946946157,finetuning
161,MLP12D030C1,mlp,12,30,C-OLS,0,,0.6324237970232401,6123.182944003578,0.4068635013402287,321.1830091915841,finetuning
162,MLP12D030C2,mlp,12,30,C-NNLS,0,,1.2360084895862165,1.2454527503002797,0.8573900111967232,0.853766265502921,finetuning
163,MLP12D030D,mlp,12,30,D-MLP2,0,10.0,3.676877672143384,3.591719417844898,2.513309173744715,2.4947033106384486,finetuning
164,MLP12D030B1,mlp,12,30,B-fb,0,5000.0,0.6143966913223267,0.7387270927429199,0.3655601441860199,0.4718107283115387,finetuning
165,MLP12D030B2,mlp,12,30,B-fW2,0,20000.0,0.5409977436065674,0.74860680103302,0.3184410631656647,0.4742266535758972,finetuning
166,MLP12D050A,mlp,12,50,A,0,,3.026938368540173,2.936458861048987,1.9386455426100873,1.9222059478122144,finetuning
167,MLP12D050C1,mlp,12,50,C-OLS,0,,0.6442106732670277,3.49850670270713,0.41602184842885154,0.7418090511766776,finetuning
168,MLP12D050C2,mlp,12,50,C-NNLS,0,,1.2715393254189107,1.3389136961781614,0.88706439160774,0.9009475549533168,finetuning
169,MLP12D050D,mlp,12,50,D-MLP2,0,10.0,3.730321457629821,3.64106905672016,2.5213711113574804,2.497304179231737,finetuning
170,MLP12D050B1,mlp,12,50,B-fb,0,5000.0,0.611209511756897,0.7302005887031555,0.36311522126197815,0.4655219912528992,finetuning
171,MLP12D050B2,mlp,12,50,B-fW2,0,20000.0,0.5329974293708801,0.74750816822052,0.31398552656173706,0.4712956845760346,finetuning
172,MLP12D070A,mlp,12,70,A,0,,3.0121981373159743,2.928942586010693,1.948810881393807,1.9212929597077562,finetuning
173,MLP12D070C1,mlp,12,70,C-OLS,0,,0.6337264404886612,421.59860133533476,0.41254030693310517,22.613278894413426,finetuning
174,MLP12D070C2,mlp,12,70,C-NNLS,0,,1.3288975485260313,1.408211411399139,0.9440827561645481,0.9710923854115171,finetuning
175,MLP12D070D,mlp,12,70,D-MLP2,0,10.0,3.5655548925605403,3.479706351089063,2.44285666970406,2.416605298565544,finetuning
176,MLP12D070B1,mlp,12,70,B-fb,0,5000.0,0.6083056926727295,0.7276985049247742,0.3583683371543884,0.4619655013084412,finetuning
177,MLP12D070B2,mlp,12,70,B-fW2,0,20000.0,0.5233099460601807,0.75249183177948,0.308250367641449,0.4720029830932617,finetuning
178,MLP12D0100A,mlp,12,100,A,0,,3.0514048440596646,2.9526156557290024,1.994891231918686,1.938599770178164,finetuning
179,MLP12D0100C1,mlp,12,100,C-OLS,0,,0.627994144444745,1.4464940269723485,0.4094219435240574,0.6548174688877278,finetuning
180,MLP12D0100C2,mlp,12,100,C-NNLS,0,,1.3538920166568587,1.4771880390760592,0.9738667234032798,1.0541194295518013,finetuning
181,MLP12D0100D,mlp,12,100,D-MLP2,0,10.0,3.834449153406775,3.7429795854509345,2.583065146695689,2.5579023517040733,finetuning
182,MLP12D0100B1,mlp,12,100,B-fb,0,5000.0,0.601696252822876,0.7223771214485168,0.3567919135093689,0.4563455581665039,finetuning
183,MLP12D0100B2,mlp,12,100,B-fW2,0,20000.0,0.5231865644454956,0.7554947733879089,0.3071109354496002,0.4705147743225098,finetuning
0,MLP0nP2D0R,mlp,0,,,0,10000,0.502784788608551,0.7629355788230896,0.3007430136203766,0.4867032170295715,selected
1,MLP0nP2D0S,mlp,0,,,0,10000,0.4920576214790344,0.74643874168396,0.29258158802986145,0.475677102804184,selected
2,MLP0aP3D0R,mlp,0,,,0,10000,0.6566911935806274,0.7833381891250609,0.3981676995754242,0.4924018383026123,selected
3,MLP0aP3D0S,mlp,0,,,0,10000,0.6142827272415161,0.7515823245048523,0.3664533793926239,0.4637706279754639,selected
4,MLP0aP3D1R,mlp,0,,,1,10000,0.6181010007858276,0.7336056232452393,0.3743324875831604,0.4738454222679138,selected
5,MLP0aP3D1S,mlp,0,,,1,10000,0.6610723733901978,0.7827129364013672,0.39497631788253773,0.4912989139556885,selected
6,MLP0aP3D2R,mlp,0,,,2,10000,0.6720488667488098,0.7379122972488403,0.4044058322906494,0.4661184251308441,selected
7,MLP0aP3D2S,mlp,0,,,2,10000,0.6325932741165161,0.7514798045158386,0.3868086934089661,0.4698392748832703,selected
8,MLP4nP1D0R,mlp,4,,,0,10000,0.5660109519958496,0.7187660932540894,0.33789780735969543,0.4574082493782044,selected
9,CNN0nP2D0R,cnn,0,,,0,10000,0.6911980509757996,1.32979416847229,0.446113646030426,0.8241565823554993,selected
10,LSTM0nP2D0R,lstm,0,,,0,10000,1.1419289112091064,1.226191759109497,0.6981807947158813,0.7575036287307739,selected
