,id,model,typ,architecture,simsfrac,finetuned_type,dropout,epochs,rmse_train,rmse_val,mae_train,mae_val,task
88,MLP9D0100FC1,mlp,9,2,100,C-OLS,0,,0.5506115888542392,0.8596612281568671,0.3487112345615201,0.5611041022811756,finetuning
89,MLP9D0100FC2,mlp,9,2,100,C-NNLS,0,,0.887069429202386,0.9392185695172177,0.5725317028572576,0.6232290341292861,finetuning
90,MLP9D0100FD,mlp,9,2,100,D-MLP2,0,5000.0,0.5009108168177057,0.8405457486129345,0.29127189439244616,0.5150889794672704,finetuning
91,MLP9D0100FB1,mlp,9,2,100,B-fb,0,10000.0,0.4910709857940674,0.8024412393569946,0.29679474234580994,0.5116219520568848,finetuning
92,MLP10D030FA,mlp,10,2,30,A,0,,4.199608082324255,4.09939565955218,3.0359775333636554,3.0891926969310775,finetuning
93,MLP10D030FC1,mlp,10,2,30,C-OLS,0,,0.560322729226144,0.8197573366505437,0.3599018578021549,0.5546602678733006,finetuning
94,MLP10D030FC2,mlp,10,2,30,C-NNLS,0,,0.9049188043393898,0.9379045936708355,0.5716533704707185,0.5862347497488172,finetuning
95,MLP10D030FD,mlp,10,2,30,D-MLP2,0,5000.0,0.4749910294511205,0.8664193546928122,0.2792217423229598,0.5390980030684489,finetuning
96,MLP10D030FB1,mlp,10,2,30,B-fb,0,10000.0,0.4916608929634094,0.7655237913131714,0.2946067452430725,0.48847311735153204,finetuning
97,MLP10D050FA,mlp,10,2,50,A,0,,4.103233697217791,4.008806033681391,2.9030106704516263,2.9537782299560438,finetuning
98,MLP10D050FC1,mlp,10,2,50,C-OLS,0,,0.5608863685741178,0.821274150644722,0.3617746803638227,0.5490957950340991,finetuning
99,MLP10D050FC2,mlp,10,2,50,C-NNLS,0,,0.9165713509428223,0.9997138851623184,0.5821919194389314,0.6218308079208964,finetuning
100,MLP10D050FD,mlp,10,2,50,D-MLP2,0,5000.0,0.4656059336115338,0.8379922649667328,0.27423994098398696,0.5096397706467002,finetuning
101,MLP10D050FB1,mlp,10,2,50,B-fb,0,10000.0,0.4838093817234039,0.7679911255836487,0.2920188903808594,0.4885215759277344,finetuning
102,MLP10D070FA,mlp,10,2,70,A,0,,4.188331447709003,4.10597406706299,2.9355800903725027,2.9670199615430186,finetuning
103,MLP10D070FC1,mlp,10,2,70,C-OLS,0,,0.5697573910631055,0.9608026759866911,0.364260683570509,0.5811764619317522,finetuning
104,MLP10D070FC2,mlp,10,2,70,C-NNLS,0,,0.9698640901372603,1.0633188935102538,0.6088690241706901,0.6767982469438569,finetuning
105,MLP10D070FD,mlp,10,2,70,D-MLP2,0,5000.0,0.49281322971100794,0.938022485863393,0.2949154362003211,0.5590360544139376,finetuning
106,MLP10D070FB1,mlp,10,2,70,B-fb,0,10000.0,0.4906975626945496,0.7851766347885132,0.2930484414100647,0.5049054622650146,finetuning
107,MLP10D0100FA,mlp,10,2,100,A,0,,4.246577002981663,4.1870687429920705,2.954522886017267,2.9947551870241993,finetuning
108,MLP10D0100FC1,mlp,10,2,100,C-OLS,0,,0.5749420788938009,0.8909904137579534,0.36907364985486557,0.6019888044078945,finetuning
109,MLP10D0100FC2,mlp,10,2,100,C-NNLS,0,,0.9886911235667416,1.0769253894200408,0.6238286326400917,0.6816649644603233,finetuning
110,MLP10D0100FD,mlp,10,2,100,D-MLP2,0,5000.0,0.48498008224192246,0.9031080514526529,0.28982270512067865,0.5507847195058844,finetuning
111,MLP10D0100FB1,mlp,10,2,100,B-fb,0,10000.0,0.4821204245090485,0.7891874313354492,0.28773897886276245,0.5087140798568726,finetuning
